,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
29,2.23,5.18,1.13,jsat,3,5.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,2279.51478739
68,2.45,5.23,1.24,jsat,3,5.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,3339.03656417
13,2.38,1.43,0.1,jsat,4.5,3.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,4626.08843519
26,0.22,0.05,0.11,jsat,3,3.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,5616.75046194
2,2.38,4.31,0.31,jsat,2,3.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,6537.57817994
96,,2.86,1.93,jsat,10,10.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,6646.15643927
41,2.33,19.94,1.5,jsat,2?,5.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,6758.36868324
0,0.21,11.74,0.23,jsat,2,4.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,6793.77311226
40,2.82,11.0,0.54,jsat,2?,2.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,6853.99204685
97,,8.63,1.83,jsat,10,10.0,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,7388.37070202
